end	parameter	n_genes	frac_moved	frac_moved_gt10nt	median_move_nt	max_move_nt
five	min_reads	21414	0.1802092089287382	0.11132903707854674	0.0	996.0
five	merge_window	22832	0.025972319551506657	0.014540995094604065	0.0	854.0
five	effect_frac	16987	0.1441690704656502	0.08918584800141284	0.0	994.0
five	expr_frac	23080	0.05472270363951473	0.03951473136915078	0.0	956.0
three	min_reads	21414	0.08466423834874381	0.04123470626692818	0.0	982.0
three	merge_window	22832	0.017344078486334968	0.010467764540995095	0.0	866.0
three	effect_frac	16987	0.07446871136751633	0.04191440513333726	0.0	873.0
three	expr_frac	23080	0.006065857885615251	0.005285961871750434	0.0	847.0
