combo	min_reads	merge_window	effect_frac	expr_frac	retained	identical	within10	n_genes	mean_five	mean_three
29	40	10	0.05	0.01	0.9324090121317158	0.7395910780669145	0.8392193308550185	5398	139.3695813264172	151.68006669136716
30	80	10	0.05	0.01	0.7847487001733102	0.573321554770318	0.743595406360424	4539	117.01454064771976	144.06587354042742
31	5	20	0.05	0.01	1.0	0.7844020797227036	0.8554592720970537	6179	181.76840912769057	160.38177698656742
32	10	20	0.05	0.01	1.0	0.8263431542461005	0.8864818024263431	6021	173.45706693240325	158.32851685766485
33	20	20	0.05	0.01	0.9998266897746967	0.9537181487259491	0.969665453284798	5795	159.0629853321829	156.09939603106125
34	40	20	0.05	0.01	0.9320623916811092	0.740795834882856	0.8404611379695054	5395	139.58887859128822	151.58276181649677
35	80	20	0.05	0.01	0.7844020797227036	0.5737958462218294	0.7439239946973044	4536	117.17702821869489	143.99404761904762
36	5	40	0.05	0.01	1.0	0.7870017331022531	0.8571923743500867	6176	181.74805699481865	160.4914183937824
37	10	40	0.05	0.01	1.0	0.8296360485268631	0.8882149046793761	6017	173.44889479807213	158.47681568888152
38	20	40	0.05	0.01	1.0	0.9575389948006933	0.9712305025996534	5793	159.0284826514759	156.31762471948903
39	40	40	0.05	0.01	0.9318890814558058	0.7426074018969686	0.84061744467175	5392	139.6222181008902	151.65652818991097
40	80	40	0.05	0.01	0.7838821490467938	0.5741764315719655	0.7439752376741101	4530	117.29116997792495	144.10772626931566
41	5	80	0.05	0.01	0.9965337954939342	0.7758260869565218	0.8499130434782609	6147	181.51049292337726	159.86920448999513
42	10	80	0.05	0.01	0.9961871750433275	0.8171537926235213	0.8806541405706333	5985	173.18479532163744	157.90225563909775
43	20	80	0.05	0.01	0.9942807625649913	0.9436987972808087	0.9626982743594213	5758	159.12382771795762	155.68461271274748
44	40	80	0.05	0.01	0.925996533795494	0.7344188658057271	0.8349241998877035	5355	139.72791783380018	150.9391223155929
45	80	80	0.05	0.01	0.7781629116117851	0.5699331848552338	0.7423162583518931	4495	117.45917686318131	143.66496106785317
46	5	160	0.05	0.01	0.9795493934142114	0.7503538570417552	0.8317409766454352	6027	180.18649410983906	157.98788783806205
47	10	160	0.05	0.01	0.9767764298093587	0.7911639460610362	0.8617814052519518	5857	171.8220932217859	156.15041830288544
48	20	160	0.05	0.01	0.9703639514731369	0.91516342203965	0.9440971602071798	5614	157.5712504453153	154.16262914143212
49	40	160	0.05	0.01	0.9005199306759099	0.7172825250192456	0.8244803695150116	5205	138.52199807877042	149.4743515850144
50	80	160	0.05	0.01	0.7564991334488734	0.5589919816723941	0.734020618556701	4369	116.4891279468986	141.91851682307163
51	5	10	0.1	0.01	0.9987868284228769	0.7770258545896235	0.8505986465382613	6164	180.9524659312135	158.77141466580142
52	10	10	0.1	0.01	0.9984402079722704	0.818781461551814	0.8814441937163687	5999	172.4864144024004	156.7516252708785
53	20	10	0.1	0.01	0.9979202772963605	0.9445988190343869	0.9647447030218826	5770	157.83986135181976	154.37694974003466
54	40	10	0.1	0.01	0.9285961871750433	0.7334826427771557	0.8366927958193355	5367	138.12222843301657	149.14048816843675
55	80	10	0.1	0.01	0.7790294627383015	0.5688542825361513	0.7412680756395995	4501	116.04110197733837	142.42546100866474
56	5	20	0.1	0.01	0.9993067590987869	0.7842525147415886	0.8546652792230316	6165	180.73933495539336	158.87591240875912
57	10	20	0.1	0.01	0.9989601386481802	0.8265093684941013	0.8856696738376127	5998	172.40313437812605	156.92797599199733
58	20	20	0.1	0.01	0.9982668977469671	0.9552083333333333	0.9704861111111112	5769	157.79060495753163	154.61951811405788
59	40	20	0.1	0.01	0.9294627383015598	0.7406302442662689	0.8411336938280813	5368	138.22038002980625	149.96423248882266
60	80	20	0.1	0.01	0.7805892547660312	0.5739342806394316	0.7444493783303731	4507	116.15331706234745	142.475038828489
61	5	40	0.1	0.01	1.0	0.8022530329289428	0.8651646447140381	6164	180.91596365996105	159.2592472420506
62	10	40	0.1	0.01	1.0	0.845580589254766	0.8965337954939342	6000	172.59216666666666	157.23633333333333
63	20	40	0.1	0.01	1.0	0.975736568457539	0.9818024263431543	5770	158.1516464471404	155.04852686308493
64	40	40	0.1	0.01	0.9303292894280762	0.7565201192250373	0.8492921013412816	5368	138.57563338301043	150.50670640834576
65	80	40	0.1	0.01	0.7809358752166378	0.584110075454949	0.7507767421216156	4506	116.58988015978694	142.96537949400798
66	5	80	0.1	0.01	0.9956672443674177	0.7801566579634465	0.8520452567449956	6134	180.91441147701337	158.8625692859472
67	10	80	0.1	0.01	0.9951473136915078	0.8213166144200627	0.8826192964123999	5965	172.48566638725902	156.87342833193628
68	20	80	0.1	0.01	0.992894280762565	0.9479839413510212	0.9656135451213126	5732	158.21231681786463	154.73796231681786
69	40	80	0.1	0.01	0.9239168110918544	0.7385105983867942	0.8377415119114613	5332	138.88109527381846	150.32239309827457
70	80	80	0.1	0.01	0.7767764298093588	0.572289156626506	0.7440874609549308	4483	116.81820209681017	142.68837831809057
71	5	160	0.1	0.01	0.9779896013864818	0.7515505936558569	0.8316498316498316	6011	179.67343204125768	157.4179005157212
