technology	normalisation	n_quantifiable	pearson_log2	spearman	median_log2fc	pct_within_1.2_fold	n_moved_2fold	pct_moved_2fold
direct RNA	CPM	5862	0.9435292574890124	0.9459493845394552	-0.011892978959454847	82.24155578300922	349	5.953599454111225
direct RNA	TPM	5862	0.9641732007021506	0.9633624810490633	0.1199117284360689	83.26509723643808	263	4.486523370863186
short read	CPM	6664	0.9491245958193507	0.9592724622532917	-0.04499809872395577	83.25330132052821	365	5.47719087635054
short read	TPM	6664	0.9757807143249861	0.9750282799400458	0.09525987854894336	85.84933973589436	180	2.701080432172869
