technology	normalisation	n_worst_tier	median_abs_log2fc_worst_tier	median_abs_log2fc_rest	cliffs_delta_worst_tier	mannwhitney_p_worst_tier	pct_moved_2fold_worst_tier	pct_moved_2fold_rest
direct RNA	CPM	161	0.12086222989231654	0.011892978959455291	0.32113795008176615	2.3868296439186954e-12	10.559006211180124	5.8235397298719525
direct RNA	TPM	161	0.12024160040295584	0.11991172843606979	0.12360477240017831	0.0069718424419173	8.695652173913043	4.367654797403964
short read	CPM	198	0.09176539532810857	0.04499809872395666	0.2023607557167717	1.0671615801857968e-06	12.121212121212121	5.273739560779462
short read	TPM	198	0.10140565969876958	0.09634829494309916	0.15165262273211555	0.00026593932285709927	5.555555555555555	2.6136715125270644
