annotation	end	n	spearman_rho	median_diff	q25_diff	q75_diff	mean_diff	frac_positive	wilcoxon_p
final	5prime	5317	0.4644	-1.0	-21.0	48.0	-2.59	0.4764	2.360966744473423e-09
final	3prime	5537	0.5066	2.0	-14.0	55.0	-20.52	0.5212	1.701701453303053e-32
nagalakshmi	5prime	4536	0.4533	-1.0	-26.0	31.0	-14.61	0.4306	0.25342109635176346
nagalakshmi	3prime	4615	0.484	5.0	-10.0	71.0	5.18	0.5623	1.366236188188327e-65
drs	5prime	5000	0.5565	-13.0	-38.0	3.0	-67.95	0.2662	8.669139408525072e-134
drs	3prime	5328	0.6126	-14.5	-63.0	0.0	-99.14	0.1654	0.0
